MCash,PO,22.0
MWFActivity,X_AD_WF_Process,3.5
title,Printable,2.0
LandedCostDistribute,SvrProcess,3.5
MRequestType,MRequestType,3.5
ComponentProduct,MProductDownload,1.0
MWFResponsible,PO,3.5
MInvoice,MProject,0.5
VolumeTest,MUserRoles,0.5
h2,MultiPartElement,2.0
MSLAMeasure,PO,2.0
MAcctProcessor,CompiereProcessor,2.0
MAlert,MAlert,1.5
MSetup,MProduct,0.5
ReplenishReport,MMovementLine,1.0
X_C_Recurring,PO,2.0
MatchInvDelete,SvrProcess,3.5
MLotCtl,MLot,0.5
MTaxDeclarationLine,X_C_TaxDeclarationLine,14.0
MInvoiceTax,MInvoiceLine,0.5
MWorkflow,ProcessInfo,3.0
button,MultiPartElement,2.0
MWFProcess,X_AD_Workflow,3.5
Aging,ProcessInfoParameter,4.0
MInOutConfirm,MRefList,0.5
MWFActivity,X_AD_WF_Activity,40.0
WebEnv,X_AD_Client,1.0
MPaySelectionCheck,X_C_Invoice,1.0
MEntityType,X_AD_EntityType,2.0
MAssignmentSlot,TimeUtil,0.5
ProjectSetType,MProjectType,1.0
InventoryCountCreate,X_M_Inventory,1.0
CalloutPayment,Ctx,6.0
InvoiceCreateInOut,MInOutLine,3.0
MContainer,X_CM_CStage_Element,3.0
MOrder,Ini,0.5
MFieldGroup,PO,0.5
CommissionAPInvoice,MBPartner,0.5
FinReport,MPrintFormatItem,0.5
MRequest,CLogger,1.5
MDunningRunEntry,CLogger,1.0
X_M_Shipper,PO,2.0
ProjectSetType,MProject,1.5
MPeriod,X_C_Calendar,1.0
DocWorkflowManager,MWorkflow,0.5
MDistributionRun,PO,1.5
WebEnv,Ctx,0.5
X_CM_WebProject_Domain,PO,2.0
MColor,POInfo,0.5
TableCreateColumns,X_AD_Column,30.5
VolumeTest,X_AD_PInstance,0.5
MTaxCategory,Ctx,0.5
ChangeLogProcess,FieldType,1.5
AcctDistribution,DB,1.0
MInventory,X_M_InventoryLine,12.5
EntityTypeRegister,HttpConnectionManager,0.5
X_CM_AccessProfile,PO,2.0
ExpenseAPInvoice,X_C_Invoice,7.0
ReplenishReport,MOrder,2.0
GridTable,SecureEngine,1.0
InvoiceNGL,X_GL_JournalLine,7.0
MRfQResponse,MRfQResponseLineQty,1.0
RfQResponseRank,RfQResponseRank,1.0
RequestUpdate,Util,0.5
MCostDetail,X_AD_Client,3.5
Tax,Env,2.0
BankStatementPayment,CompiereSystemException,1.5
BPartnerOrgLink,SvrProcess,5.5
BPartnerOrgLink,X_M_Locator,0.5
MInvoicePaySchedule,ResponseVO,0.5
ImportBPartner,X_C_BPartner_Location,6.5
CalloutOrder,X_M_InOut,3.0
ResultTable,RColumn,1.0
MOrderLine,MRole,1.0
MProductBOM,PO,6.0
MAcctProcessorLog,PO,1.5
TaxDeclarationCreate,X_C_TaxDeclarationLine,0.5
MOrderLine,MProductPricing,19.0
MPaySelection,PO,2.0
MPayment,X_C_Payment,199.5
MClickCount,DB,0.5
MInOut,X_M_AttributeSet,1.5
ProjectGenOrder,X_C_Project,3.0
RfQCreate,MRfQResponse,1.0
FinReport,ProcessInfoParameter,6.0
MProduct,X_S_Resource,5.0
CostUpdate,X_M_CostElement,1.5
X_AD_Role,PO,2.0
MContainerElement,DB,0.5
MRequest,Env,1.0
WebLogin,X_AD_Session,2.0
X_AD_LdapProcessor,PO,2.0
X_CM_Media_Server,PO,2.0
CostUpdate,ProcessInfoParameter,2.5
X_I_BankStatement,PO,2.0
MCountry,X_C_Country,2.0
ImportLocator,X_M_ProductLocator,1.0
MWFActivity,X_AD_WF_EventAudit,8.0
DataMigrationCreate,MDataMigration,0.5
WebLogin,WebInfo,3.5
MInvoice,X_M_InOut,8.5
ImportOrder,X_C_BPartner,1.5
SLAMeasureProcess,PO,2.0
InvoiceBatchProcess,ProcessInfoParameter,1.0
MWFBlock,PO,0.5
ExpenseAPInvoice,ProcessInfoParameter,2.0
MLot,MLot,1.0
LeadRequest,X_R_Request,0.5
MInOutLineConfirm,X_M_InOutConfirm,1.0
OrgOwnership,OrgOwnership,2.0
TemporaryDelete,TemporaryDelete,0.5
MBPartnerInfo,CLogger,1.0
FinStatement,Msg,0.5
LandedCostDistribute,PO,0.5
MBPartner,PO,18.5
MOrgInfo,X_AD_OrgInfo,2.0
WebProjectDeploy,MTreeNodeCMC,0.5
RequisitionPOCreate,X_C_Order,2.5
MProjectLine,DB,0.5
X_M_MovementLine,PO,2.0
DocumentTypeVerify,MDocType,0.5
MLot,DB,1.5
RequestReOpen,X_R_Request,1.0
MBankStatement,DocumentEngine,1.0
MCash,X_C_AllocationLine,1.0
MInvoice,MCashBook,0.5
ImportAccount,ImportAccount,1.0
MInOut,X_M_Storage,2.5
MSetup,Env,1.0
RoleAccessUpdate,DB,0.5
MDunningRunEntry,MDunningRunLine,0.5
MSetup,MProductCategory,0.5
CalloutPayment,MConversionRate,0.5
MOrder,MReturnPolicy,1.0
CalloutPaymentAllocate,X_C_Payment,1.5
MWFActivity,FieldType,2.0
X_C_LandedCost,PO,2.0
CalloutRequisition,Ctx,3.5
X_C_ValidCombination,PO,2.0
MContainer,PO,27.0
InventoryCountCreate,InventoryCountCreate,0.5
ViewCreate,ASyncProcess,2.0
MCashLine,X_C_CashBook,1.0
X_AD_Schedule,PO,2.0
MInvoiceBatchLine,Env,0.5
BOMValidate,ProcessInfoParameter,2.0
MGoalRestriction,PO,0.5
MInOutLine,MWarehouse,1.0
ImportBPartner,X_C_Location,9.0
MWFActivity,X_AD_Note,1.5
WebUtil,a,1.0
MLandedCostAllocation,CLogger,1.0
MRfQResponseLineQty,PO,3.5
MLdapProcessor,X_AD_LdapProcessor,5.0
MJournal,X_M_Product,1.0
DefaultHttpParams,HttpParams,2.0
MStatusCategory,PO,3.5
RModel,RColumn,2.0
WebEnv,comment,1.0
GridTab,GridTable,28.0
ChangeLogProcess,X_AD_Table,2.0
MAssetGroup,X_A_Asset_Group,5.0
FinStatement,Ini,0.5
MLdapProcessor,X_A_Asset_Delivery,1.0
CostUpdate,PO,5.5
InvoiceBatchProcess,MInvoiceBatch,1.0
ColumnEncryption,X_AD_Column,6.5
DataMigrationImport,SvrProcess,2.0
UserPassword,MColumn,0.5
WebInfo,MRequestType,1.0
MDistributionRun,MDistributionRunLine,0.5
X_AD_Task,PO,2.0
MMovementLineMA,X_M_MovementLine,0.5
MMeasure,X_PA_Measure,14.0
MOrderTax,MOrderTax,3.5
MAsset,PO,9.0
SendMailText,MStore,0.5
MStore,Msg,0.5
MInvoiceTax,PO,4.0
MAttribute,PO,8.5
PeriodStatus,X_C_Period,0.5
MMeasure,X_PA_Goal,4.5
BPartnerOrgLink,PO,5.5
WebProjectDeploy,ProcessInfoParameter,1.5
ChangeLogProcess,MTable,2.0
MCost,X_M_Product,16.5
MAging,X_T_Aging,43.5
MSetup,CLogger,1.0
MTemplate,X_CM_Template,12.0
MFormAccess,X_AD_Form_Access,3.5
th,Printable,2.0
MPaymentAllocate,Msg,1.0
link,SinglePartElement,2.0
MBPartner,X_I_BPartner,5.0
CostUpdate,CompiereSystemException,3.0
InvoicePrint,CompiereUserException,1.5
UserPassword,MUser,2.5
BOMValidate,SvrProcess,6.0
TrialBalance,MClientInfo,0.5
